year,exact_year,quarter,dept,dept_code,number,code,section,title,type,instructor,A,B,C,D,F,P,NP,W,avg_gpa
2021-22,0,Summer,0,0,0,12030,A,ISSUES IN K-12 EDUC,LEC,"VU, V.",31,15,2,1,3,1,1,0,3.25
2021-22,0,Summer,0,0,0,12040,A,ADOLESCENT DEV EDUC,LEC,"RENICK, J.",35,18,1,0,0,1,0,0,3.57
2021-22,0,Summer,0,0,0,12050,A,EDUC TECHNOLOGY,LEC,"VU, V.",28,13,2,1,2,0,0,0,3.35
2021-22,0,Summer,0,0,0,12060,A,OUT OF SCHL LEARNG,LEC,"EDLUND LAO, J.",25,7,1,0,2,0,1,0,3.47
2021-22,0,Summer,0,0,0,12070,A,ADV WRTG FOR ED SCI,LEC,"COLLINS, P.",33,0,0,0,0,3,0,0,3.97
2021-22,0,Summer,0,0,0,16410,A,COMP METHODS IN ECE,LEC,"DOEMER, R.",12,5,2,0,0,0,0,0,3.48
2021-22,0,Summer,0,0,0,16420,A,INTRO PROGRAMMING,LEC,"SHEU, C.",13,8,0,0,1,0,0,0,3.36
2021-22,0,Summer,0,0,0,16440,A,ADV C PROGRAMMING,LEC,"DANG, Q.",8,3,2,0,0,0,0,0,3.39
2021-22,0,Summer,0,0,0,16450,A,INTRO DIGITAL SYST,LEC,"DANG, Q.",9,6,4,3,2,0,2,0,2.66
2021-22,0,Summer,0,0,0,16460,A,INTRO DIG LOGIC LAB,LEC,"DANG, Q.",10,4,0,0,3,0,0,0,3.06
2021-22,0,Summer,0,0,0,16475,B,DISCR-TM SIGS/SYSTM,LEC,"EBRAHIMI, P.",13,11,13,3,6,1,1,0,2.5
2021-22,0,Summer,0,0,0,16480,A,ENGR PROBABILITY,LEC,"CHEN, W.",20,15,4,0,0,0,0,0,3.38
2021-22,0,Summer,0,0,0,16490,A,NETWORK ANALYSIS I,LEC,"CHAUDHRY, M.",10,13,14,3,0,1,0,0,2.71
2021-22,0,Summer,0,0,0,16510,A,NETWORK ANALYSIS II,LEC,"LEE, H.",13,14,10,1,5,0,1,0,2.69
2021-22,0,Summer,0,0,0,16500,A,NET ANALYS I LAB,LAB,"CHAUDHRY, M.",24,1,0,0,1,0,0,0,3.76
2021-22,0,Summer,0,0,0,16520,A,NET ANALYS II LAB,LAB,"LEE, H.",18,3,0,0,1,1,0,0,3.57
2021-22,0,Summer,0,0,0,16525,B,NET ANALYS II LAB,LAB,"LEE, H.",14,3,0,0,0,0,1,0,3.67
2021-22,0,Summer,0,0,0,16560,A,ELECTRONICS III,LEC,"CHAUDHRY, M.",9,7,19,2,0,0,0,0,2.66
2021-22,0,Summer,0,0,0,16570,A,ELECTRONICS III LAB,LAB,"CHAUDHRY, M.",29,2,0,0,0,0,0,0,3.92
2021-22,0,Summer,0,0,0,13090,A,COMM IN PROF WORLD,LEC,"FORESTA, J.",15,4,0,0,0,0,0,0,3.73
2021-22,0,Summer,0,0,0,13100,B,COMM IN PROF WORLD,LEC,"TATERI, J.",8,9,0,1,0,0,0,0,3.27
2021-22,0,Summer,0,0,0,13110,C,COMM IN PROF WORLD,LEC,"FORESTA, J.",16,5,0,0,0,0,0,0,3.75
